AFFGEOID,GEOID,geoid_ude,2014_unem,2018_unemp,18-14_unem
1400000US06059011716,"06059011716","6059011716",11.81,6.75,-5.060
1400000US06059021920,"06059021920","6059021920",5.17,4.06,-1.110
1400000US06059052408,"06059052408","6059052408",10.44,2.99,-7.450
1400000US06059062702,"06059062702","6059062702",5.17,0.72,-4.450
1400000US06059074003,"06059074003","6059074003",11.40,4.66,-6.740
1400000US06059074110,"06059074110","6059074110",9.55,4.51,-5.040
1400000US06059074801,"06059074801","6059074801",7.33,6.88,-0.450
1400000US06059075405,"06059075405","6059075405",8.36,6.41,-1.950
1400000US06059086402,"06059086402","6059086402",15.86,8.11,-7.750
1400000US06059088107,"06059088107","6059088107",9.40,6.95,-2.450
1400000US06059088702,"06059088702","6059088702",8.39,2.89,-5.500
1400000US06059099224,"06059099224","6059099224",6.92,4.21,-2.710
1400000US06059099248,"06059099248","6059099248",7.70,3.50,-4.200
1400000US06059099416,"06059099416","6059099416",6.83,2.19,-4.640
1400000US06059110106,"06059110106","6059110106",4.94,4.31,-0.630
1400000US06059110606,"06059110606","6059110606",6.09,4.83,-1.260
1400000US06059062638,"06059062638","6059062638",7.20,4.39,-2.810
1400000US06059063102,"06059063102","6059063102",8.63,4.32,-4.310
1400000US06059021825,"06059021825","6059021825",7.23,1.86,-5.370
1400000US06059042310,"06059042310","6059042310",9.23,2.72,-6.510
1400000US06059062641,"06059062641","6059062641",9.62,3.58,-6.040
1400000US06059063906,"06059063906","6059063906",8.58,8.07,-0.510
1400000US06059075004,"06059075004","6059075004",7.47,3.53,-3.940
1400000US06059086301,"06059086301","6059086301",13.25,3.21,-10.040
1400000US06059088104,"06059088104","6059088104",10.07,3.35,-6.720
1400000US06059088902,"06059088902","6059088902",12.82,4.00,-8.820
1400000US06059099239,"06059099239","6059099239",4.75,2.80,-1.950
1400000US06059099311,"06059099311","6059099311",9.34,6.58,-2.760
1400000US06059099903,"06059099903","6059099903",11.83,1.52,-10.310
1400000US06059110303,"06059110303","6059110303",7.61,2.54,-5.070
1400000US06059032033,"06059032033","6059032033",4.70,3.69,-1.010
1400000US06059042327,"06059042327","6059042327",6.38,7.57,1.190
1400000US06059052514,"06059052514","6059052514",10.33,7.39,-2.940
1400000US06059063702,"06059063702","6059063702",11.17,3.97,-7.200
1400000US06059074111,"06059074111","6059074111",6.48,3.36,-3.120
1400000US06059001103,"06059001103","6059001103",11.48,9.31,-2.170
1400000US06059011402,"06059011402","6059011402",10.10,3.58,-6.520
1400000US06059075811,"06059075811","6059075811",5.84,5.35,-0.490
1400000US06059076102,"06059076102","6059076102",6.66,4.16,-2.500
1400000US06059087002,"06059087002","6059087002",15.75,4.01,-11.740
1400000US06059089106,"06059089106","6059089106",7.76,2.46,-5.300
1400000US06059099231,"06059099231","6059099231",5.01,3.54,-1.470
1400000US06059099406,"06059099406","6059099406",10.32,4.64,-5.680
1400000US06059021823,"06059021823","6059021823",8.63,5.59,-3.040
1400000US06059099904,"06059099904","6059099904",9.23,3.91,-5.320
1400000US06059001401,"06059001401","6059001401",4.67,8.94,4.270
