AFFGEOID,GEOID,geoid_ude,2014_unem,2018_unemp,18-14_unem
1400000US06059052524,"06059052524","6059052524",10.31,7.37,-2.940
1400000US06059052527,"06059052527","6059052527",6.93,1.83,-5.100
1400000US06059062614,"06059062614","6059062614",6.66,7.14,0.480
1400000US06059062620,"06059062620","6059062620",7.08,8.30,1.220
1400000US06059062627,"06059062627","6059062627",10.98,7.69,-3.290
1400000US06059001102,"06059001102","6059001102",7.13,3.82,-3.310
1400000US06059001404,"06059001404","6059001404",11.19,9.76,-1.430
1400000US06059001707,"06059001707","6059001707",7.44,7.29,-0.150
1400000US06059011401,"06059011401","6059011401",9.12,9.24,0.120
1400000US06059011711,"06059011711","6059011711",8.77,6.07,-2.700
1400000US06059021802,"06059021802","6059021802",4.54,2.69,-1.850
1400000US06059021812,"06059021812","6059021812",10.19,0.61,-9.580
1400000US06059021816,"06059021816","6059021816",8.69,4.70,-3.990
1400000US06059021827,"06059021827","6059021827",11.13,7.79,-3.340
1400000US06059021905,"06059021905","6059021905",7.65,2.41,-5.240
1400000US06059021912,"06059021912","6059021912",4.87,4.21,-0.660
1400000US06059032020,"06059032020","6059032020",8.73,1.80,-6.930
1400000US06059032046,"06059032046","6059032046",10.25,4.58,-5.670
1400000US06059042114,"06059042114","6059042114",7.49,6.59,-0.900
1400000US06059042317,"06059042317","6059042317",9.76,2.97,-6.790
1400000US06059042324,"06059042324","6059042324",11.85,2.76,-9.090
1400000US06059042333,"06059042333","6059042333",10.94,3.13,-7.810
1400000US06059052410,"06059052410","6059052410",6.75,9.36,2.610
1400000US06059052421,"06059052421","6059052421",9.75,4.04,-5.710
1400000US06059052425,"06059052425","6059052425",4.68,3.61,-1.070
1400000US06059062622,"06059062622","6059062622",7.69,1.35,-6.340
1400000US06059062636,"06059062636","6059062636",11.02,1.90,-9.120
1400000US06059062647,"06059062647","6059062647",8.18,8.51,0.330
1400000US06059063101,"06059063101","6059063101",4.04,3.66,-0.380
1400000US06059063006,"06059063006","6059063006",8.86,3.68,-5.180
1400000US06059063202,"06059063202","6059063202",9.03,4.82,-4.210
1400000US06059063803,"06059063803","6059063803",14.31,7.52,-6.790
1400000US06059074106,"06059074106","6059074106",7.24,3.76,-3.480
1400000US06059074405,"06059074405","6059074405",7.70,3.22,-4.480
1400000US06059074602,"06059074602","6059074602",10.45,3.76,-6.690
1400000US06059074902,"06059074902","6059074902",9.56,8.65,-0.910
1400000US06059075003,"06059075003","6059075003",8.18,9.47,1.290
1400000US06059075606,"06059075606","6059075606",3.32,1.53,-1.790
1400000US06059076103,"06059076103","6059076103",8.85,4.95,-3.900
1400000US06059086701,"06059086701","6059086701",14.33,6.47,-7.860
1400000US06059087105,"06059087105","6059087105",6.69,5.53,-1.160
1400000US06059087504,"06059087504","6059087504",6.96,7.76,0.800
1400000US06059087704,"06059087704","6059087704",8.32,7.00,-1.320
1400000US06059088001,"06059088001","6059088001",11.39,4.80,-6.590
1400000US06059088302,"06059088302","6059088302",9.13,3.29,-5.840
1400000US06059088501,"06059088501","6059088501",11.58,5.49,-6.090
1400000US06059088903,"06059088903","6059088903",9.03,7.93,-1.100
1400000US06059089102,"06059089102","6059089102",7.23,6.26,-0.970
1400000US06059089107,"06059089107","6059089107",13.21,5.63,-7.580
1400000US06059099235,"06059099235","6059099235",7.69,5.14,-2.550
1400000US06059099404,"06059099404","6059099404",11.85,6.73,-5.120
1400000US06059099601,"06059099601","6059099601",9.82,7.10,-2.720
1400000US06059099803,"06059099803","6059099803",9.53,9.21,-0.320
1400000US06059110007,"06059110007","6059110007",4.38,4.70,0.320
1400000US06059110008,"06059110008","6059110008",6.23,4.35,-1.880
1400000US06059110109,"06059110109","6059110109",7.00,3.27,-3.730
1400000US06059110116,"06059110116","6059110116",5.82,5.83,0.010
1400000US06059001202,"06059001202","6059001202",15.72,8.38,-7.340
1400000US06059032015,"06059032015","6059032015",5.23,3.07,-2.160
1400000US06059042319,"06059042319","6059042319",4.19,1.87,-2.320
1400000US06059075702,"06059075702","6059075702",6.71,1.90,-4.810
1400000US06059087403,"06059087403","6059087403",16.37,10.92,-5.450
1400000US06059099223,"06059099223","6059099223",10.59,6.80,-3.790
1400000US06059062611,"06059062611","6059062611",10.83,9.03,-1.800
1400000US06059074109,"06059074109","6059074109",12.47,3.41,-9.060
1400000US06059110604,"06059110604","6059110604",5.74,2.66,-3.080
1400000US06059032011,"06059032011","6059032011",10.59,2.53,-8.060
1400000US06059052525,"06059052525","6059052525",7.19,3.03,-4.160
1400000US06059001504,"06059001504","6059001504",8.24,3.64,-4.600
1400000US06059001708,"06059001708","6059001708",5.33,6.62,1.290
1400000US06059011712,"06059011712","6059011712",10.03,9.59,-0.440
1400000US06059062621,"06059062621","6059062621",6.06,3.39,-2.670
1400000US06059062633,"06059062633","6059062633",8.25,4.08,-4.170
1400000US06059062644,"06059062644","6059062644",7.67,3.93,-3.740
1400000US06059063907,"06059063907","6059063907",8.37,3.24,-5.130
1400000US06059074701,"06059074701","6059074701",6.36,4.45,-1.910
1400000US06059075202,"06059075202","6059075202",17.68,8.91,-8.770
1400000US06059021917,"06059021917","6059021917",10.44,9.05,-1.390
1400000US06059032043,"06059032043","6059032043",4.94,4.35,-0.590
1400000US06059032054,"06059032054","6059032054",3.55,1.53,-2.020
1400000US06059042109,"06059042109","6059042109",9.23,5.45,-3.780
1400000US06059042307,"06059042307","6059042307",10.61,3.86,-6.750
1400000US06059042339,"06059042339","6059042339",8.83,6.88,-1.950
1400000US06059052426,"06059052426","6059052426",6.77,7.28,0.510
1400000US06059086305,"06059086305","6059086305",11.86,1.80,-10.060
1400000US06059086602,"06059086602","6059086602",11.41,5.62,-5.790
1400000US06059087505,"06059087505","6059087505",14.53,6.76,-7.770
1400000US06059088101,"06059088101","6059088101",12.37,4.64,-7.730
1400000US06059110401,"06059110401","6059110401",4.26,4.34,0.080
1400000US06059099212,"06059099212","6059099212",14.41,6.56,-7.850
1400000US06059099242,"06059099242","6059099242",8.61,2.66,-5.950
1400000US06059099305,"06059099305","6059099305",6.44,6.64,0.200
1400000US06059099502,"06059099502","6059099502",1.21,7.45,6.240
1400000US06059099603,"06059099603","6059099603",11.21,2.13,-9.080
1400000US06059110001,"06059110001","6059110001",8.03,4.86,-3.170
1400000US06059110201,"06059110201","6059110201",5.88,4.49,-1.390
1400000US06059075605,"06059075605","6059075605",4.40,1.80,-2.600
1400000US06059001505,"06059001505","6059001505",9.25,5.95,-3.300
1400000US06059021820,"06059021820","6059021820",13.57,4.22,-9.350
1400000US06059042112,"06059042112","6059042112",6.48,3.75,-2.730
1400000US06059075805,"06059075805","6059075805",8.66,2.20,-6.460
1400000US06059088202,"06059088202","6059088202",12.46,5.68,-6.780
1400000US06059099309,"06059099309","6059099309",5.02,4.71,-0.310
1400000US06059099508,"06059099508","6059099508",11.91,7.29,-4.620
1400000US06059110015,"06059110015","6059110015",9.81,7.64,-2.170
1400000US06059001801,"06059001801","6059001801",15.25,8.01,-7.240
1400000US06059011602,"06059011602","6059011602",10.27,5.70,-4.570
1400000US06059021815,"06059021815","6059021815",4.52,6.75,2.230
1400000US06059021913,"06059021913","6059021913",6.93,5.47,-1.460
1400000US06059032012,"06059032012","6059032012",8.94,8.17,-0.770
1400000US06059032039,"06059032039","6059032039",6.77,11.10,4.330
1400000US06059032055,"06059032055","6059032055",6.74,3.85,-2.890
1400000US06059042332,"06059042332","6059042332",4.31,1.80,-2.510
1400000US06059052420,"06059052420","6059052420",7.10,4.16,-2.940
1400000US06059052518,"06059052518","6059052518",4.48,5.26,0.780
1400000US06059062619,"06059062619","6059062619",6.46,2.62,-3.840
1400000US06059062645,"06059062645","6059062645",4.83,6.45,1.620
1400000US06059062900,"06059062900","6059062900",10.52,3.53,-6.990
1400000US06059063009,"06059063009","6059063009",10.16,4.43,-5.730
1400000US06059063500,"06059063500","6059063500",8.13,2.65,-5.480
1400000US06059074403,"06059074403","6059074403",12.23,3.09,-9.140
1400000US06059075507,"06059075507","6059075507",10.20,5.77,-4.430
1400000US06059075814,"06059075814","6059075814",9.16,6.78,-2.380
1400000US06059086901,"06059086901","6059086901",11.95,5.49,-6.460
1400000US06059087405,"06059087405","6059087405",21.90,13.69,-8.210
1400000US06059088301,"06059088301","6059088301",10.20,5.88,-4.320
1400000US06059088602,"06059088602","6059088602",6.53,5.06,-1.470
1400000US06059099217,"06059099217","6059099217",3.82,6.27,2.450
1400000US06059089104,"06059089104","6059089104",16.84,6.90,-9.940
1400000US06059032037,"06059032037","6059032037",11.42,3.71,-7.710
1400000US06059042330,"06059042330","6059042330",10.45,5.62,-4.830
1400000US06059052515,"06059052515","6059052515",5.65,5.39,-0.260
1400000US06059110102,"06059110102","6059110102",9.11,3.75,-5.360
1400000US06059021826,"06059021826","6059021826",11.35,8.12,-3.230
1400000US06059075514,"06059075514","6059075514",11.12,6.41,-4.710
1400000US06059088106,"06059088106","6059088106",11.05,5.90,-5.150
1400000US06059099214,"06059099214","6059099214",3.88,3.25,-0.630
1400000US06059087901,"06059087901","6059087901",14.21,7.33,-6.880
1400000US06059052517,"06059052517","6059052517",10.14,6.76,-3.380
1400000US06059032059,"06059032059","6059032059",4.38,4.23,-0.150
1400000US06059001303,"06059001303","6059001303",10.93,8.27,-2.660
1400000US06059099602,"06059099602","6059099602",10.60,5.66,-4.940
1400000US06059075809,"06059075809","6059075809",8.27,8.26,-0.010
1400000US06059075404,"06059075404","6059075404",11.51,3.43,-8.080
1400000US06059086502,"06059086502","6059086502",12.93,5.78,-7.150
1400000US06059099232,"06059099232","6059099232",9.61,5.41,-4.200
1400000US06059110108,"06059110108","6059110108",6.62,4.65,-1.970
1400000US06059011101,"06059011101","6059011101",9.52,3.55,-5.970
1400000US06059076206,"06059076206","6059076206",7.99,2.78,-5.210
1400000US06059110010,"06059110010","6059110010",11.52,3.92,-7.600
1400000US06059074408,"06059074408","6059074408",9.63,4.81,-4.820
1400000US06059099240,"06059099240","6059099240",7.14,5.94,-1.200
1400000US06059032034,"06059032034","6059032034",6.27,5.10,-1.170
1400000US06059063103,"06059063103","6059063103",8.54,7.07,-1.470
1400000US06059099243,"06059099243","6059099243",6.96,5.11,-1.850
1400000US06059001101,"06059001101","6059001101",7.94,5.23,-2.710
1400000US06059032028,"06059032028","6059032028",8.69,3.23,-5.460
1400000US06059063805,"06059063805","6059063805",10.73,3.75,-6.980
1400000US06059032014,"06059032014","6059032014",8.21,4.32,-3.890
1400000US06059074702,"06059074702","6059074702",10.69,4.99,-5.700
1400000US06059088701,"06059088701","6059088701",13.81,5.40,-8.410
1400000US06059052528,"06059052528","6059052528",3.80,1.89,-1.910
1400000US06059087404,"06059087404","6059087404",11.37,9.89,-1.480
1400000US06059110301,"06059110301","6059110301",6.68,4.22,-2.460
